time,tls,cur_phase,main_green,q_main,q_side,rem_before,rem_after,extended
75.0,J3,2,0,0.0,0.0,12.0,12.0,0
75.5,J1,2,0,10.0,0.0,11.5,11.5,0
75.5,J2,2,0,9.0,0.0,11.5,11.5,0
75.5,J3,2,0,0.0,0.0,11.5,11.5,0
76.0,J1,2,0,10.0,0.0,11.0,11.0,0
76.0,J2,2,0,9.0,0.0,11.0,11.0,0
76.0,J3,2,0,1.0,0.0,11.0,11.0,0
76.5,J1,2,0,11.0,0.0,10.5,10.5,0
76.5,J2,2,0,9.0,0.0,10.5,10.5,0
76.5,J3,2,0,2.0,0.0,10.5,10.5,0
77.0,J1,2,0,11.0,0.0,10.0,10.0,0
77.0,J2,2,0,9.0,0.0,10.0,10.0,0
77.0,J3,2,0,2.0,1.0,10.0,10.0,0
77.5,J1,2,0,11.0,0.0,9.5,9.5,0
77.5,J2,2,0,9.0,0.0,9.5,9.5,0
77.5,J3,2,0,2.0,0.0,9.5,9.5,0
78.0,J1,2,0,12.0,0.0,9.0,9.0,0
78.0,J2,2,0,9.0,0.0,9.0,9.0,0
78.0,J3,2,0,2.0,0.0,9.0,9.0,0
78.5,J1,2,0,11.0,0.0,8.5,8.5,0
78.5,J2,2,0,9.0,0.0,8.5,8.5,0
78.5,J3,2,0,2.0,0.0,8.5,8.5,0
79.0,J1,2,0,12.0,0.0,8.0,8.0,0
79.0,J2,2,0,9.0,0.0,8.0,8.0,0
79.0,J3,2,0,2.0,0.0,8.0,8.0,0
79.5,J1,2,0,12.0,0.0,7.5,7.5,0
